OA11CD,LSOA11CD
E00053291,E01010554
E00053210,E01010542
E00052886,E01010477
E00052807,E01010458
E00052579,E01010410
E00053068,E01010508
E00053058,E01010511
E00052793,E01010454
E00052712,E01010436
E00052695,E01010438
E00053235,E01010541
E00053129,E01010523
E00052954,E01010491
E00167340,E01010449
E00053061,E01010512
E00052933,E01010485
E00053127,E01010526
E00053232,E01010543
E00052902,E01010472
E00052742,E01010445
E00052983,E01010489
E00053347,E01010562
E00052854,E01010469
E00052689,E01010432
E00052608,E01010414
E00052673,E01010426
E00052597,E01010413
E00052594,E01010413
E00052952,E01010490
E00052871,E01010463
E00053077,E01010517
E00053331,E01010566
E00052802,E01010457
E00053166,E01010533
E00052724,E01010438
E00053273,E01010552
E00053056,E01010511
E00052776,E01010450
E00053045,E01010507
E00052875,E01010474
E00053175,E01010536
E00053274,E01010552
E00053031,E01010504
E00053142,E01010527
E00053301,E01010560
E00052623,E01010421
E00052858,E01010469
E00053219,E01010545
E00053298,E01010560
E00053262,E01010551
E00052965,E01010494
E00052614,E01010418
E00052909,E01010474
E00052988,E01010491
E00052829,E01010456
E00052827,E01010457
E00052879,E01010477
E00052639,E01010422
E00053192,E01010537
E00053113,E01010517
E00053148,E01010528
E00052796,E01010452
E00052717,E01010436
E00053044,E01010504
E00052642,E01010423
E00053221,E01010545
E00052770,E01010453
E00052721,E01010439
E00045709,E01009000
E00175790,E01033630
E00175739,E01033632
E00045210,E01008914
E00045115,E01008898
E00047329,E01009340
E00045433,E01008959
E00047701,E01009425
E00047931,E01009472
E00047780,E01009440
E00047625,E01009411
E00045767,E01009022
E00047174,E01009302
E00045698,E01009013
E00047381,E01009348
E00047300,E01009326
E00045541,E01008969
E00046425,E01009141
E00045941,E01009048
E00045255,E01008917
E00175712,E01009416
E00045310,E01033629
E00045391,E01008936
E00046121,E01009091
E00047848,E01009442
E00045144,E01008886
E00045279,E01008919
E00045454,E01008962
E00046424,E01009151
E00047543,E01009393
E00048021,E01009483
E00045194,E01008913
E00046832,E01009236
E00046304,E01009128
E00045670,E01008999
E00047299,E01009334
E00045099,E01008896
E00047218,E01009300
E00046995,E01009279
E00046914,E01009254
E00045177,E01008909
E00045235,E01033637
E00045367,E01008946
E00047772,E01009419
E00175653,E01033622
E00045555,E01008971
E00045379,E01008932
E00046354,E01009138
E00175694,E01008974
E00046857,E01009238
E00045431,E01008956
E00046339,E01009132
E00045870,E01009032
E00047341,E01009343
E00045457,E01008962
E00045788,E01009024
E00048011,E01009486
E00048090,E01009499
E00045560,E01008973
E00047595,E01009385
E00047514,E01009372
E00046889,E01009246
E00046808,E01009223
E00047535,E01009382
E00175638,E01033557
E00175724,E01009416
E00175710,E01009097
E00045797,E01009029
E00045087,E01008893
E00046683,E01009214
E00046602,E01009176
E00175663,E01033626
E00175673,E01033627
E00175630,E01033615
E00046943,E01009253
E00045881,E01009034
E00045305,E01008925
E00046842,E01009248
E00045384,E01008936
E00047751,E01009430
E00046725,E01009216
E00046227,E01009119
E00045943,E01009062
E00046296,E01009125
E00045203,E01008914
E00175675,E01033626
E00047742,E01009427
E00046213,E01009112
E00046292,E01009124
E00046971,E01009261
E00045647,E01008984
E00047827,E01009438
E00047476,E01009366
E00045304,E01033629
E00047449,E01009363
E00047461,E01009380
E00046068,E01009092
E00046074,E01009079
E00045385,E01008932
E00046123,E01009090
E00045183,E01008906
E00046897,E01009247
E00047531,E01009384
E00045596,E01008988
E00045102,E01008897
E00175792,E01009360
E00175620,E01033564
E00046558,E01009182
E00047549,E01009394
E00046164,E01009102
E00046816,E01009226
E00175764,E01009194
E00048058,E01009506
E00047252,E01009322
E00047078,E01009296
E00047373,E01009347
E00048091,E01009499
E00048010,E01009486
E00045334,E01008939
E00046868,E01009241
E00045836,E01009039
E00045632,E01008994
E00046529,E01009174
E00045331,E01008942
E00045988,E01009072
E00045909,E01009051
E00047546,E01009394
E00045950,E01009051
E00046130,E01009093
E00046827,E01009227
E00045419,E01008958
E00047547,E01009395
E00046358,E01033627
E00047283,E01009313
E00047202,E01009310
E00047158,E01009300
E00045623,E01008995
E00046779,E01009231
E00045225,E01033636
E00048139,E01009512
E00046029,E01009078
E00175726,E01009290
E00046342,E01009136
E00045931,E01009061
E00046649,E01033647
E00175746,E01009487
E00046260,E01009133
E00048034,E01009491
E00045666,E01009011
E00045735,E01033632
E00047196,E01009308
E00046381,E01009143
E00046207,E01009113
E00047450,E01009365
E00046061,E01009094
E00046300,E01009123
E00047141,E01009303
E00047691,E01009421
E00046059,E01009088
E00046462,E01009165
E00047548,E01009393
E00047610,E01009405
E00045392,E01008935
E00045728,E01009006
E00047104,E01009283
E00047120,E01009283
E00045766,E01009021
E00045404,E01008937
E00045130,E01008886
E00047407,E01009351
E00047086,E01009280
E00047007,E01009262
E00045485,E01008950
E00047486,E01033650
E00046344,E01033640
E00048049,E01009475
E00046689,E01009208
E00047520,E01009379
E00047059,E01009295
E00045758,E01009020
E00046608,E01009203
E00045355,E01008942
E00048019,E01009485
E00047148,E01009300
E00048098,E01009500
E00045179,E01008910
E00047278,E01009317
