grid_id,building_count
0_52,87
0_53,49
100_10,27
100_11,294
100_12,379
100_13,797
100_14,857
100_15,665
100_16,917
100_17,500
100_18,461
100_19,417
100_20,373
100_21,448
100_22,56
100_23,135
100_6,11
100_7,184
100_8,623
100_9,542
101_10,462
101_11,223
101_12,72
101_13,522
101_14,808
101_15,836
101_16,751
101_17,214
101_18,457
101_19,504
101_20,300
101_21,452
101_22,34
101_23,41
101_24,95
101_25,9
101_8,343
101_9,535
102_10,644
102_11,575
102_12,566
102_13,608
102_14,276
102_15,570
102_16,549
102_17,381
102_18,344
102_19,326
102_20,627
102_21,496
102_22,29
102_23,37
102_8,135
102_9,713
103_10,537
103_11,697
103_12,454
103_13,386
103_14,254
103_15,376
103_16,215
103_17,257
103_18,436
103_19,673
103_20,462
103_21,79
103_22,22
103_23,0
103_8,24
103_9,181
104_10,59
104_11,97
104_12,335
104_13,537
104_14,89
104_15,326
104_16,201
104_17,301
104_18,589
104_19,368
104_9,3
105_12,257
105_13,36
105_14,6
105_16,0
105_17,110
105_18,125
105_19,33
106_18,1
10_18,126
10_19,122
10_20,346
10_21,416
10_22,492
10_23,472
10_24,436
10_25,552
10_26,540
10_27,402
10_28,341
10_29,339
10_30,443
10_31,675
10_32,345
10_33,570
10_34,362
10_35,2
10_36,176
10_37,487
10_38,772
10_39,747
10_40,24
10_41,67
10_42,515
10_43,540
10_44,258
10_45,543
10_46,174
10_47,43
10_48,526
10_49,711
10_50,424
10_51,204
10_52,166
10_53,188
10_54,329
10_55,319
10_56,186
10_57,363
10_58,369
10_59,587
10_60,535
10_61,631
10_62,578
10_63,27
10_64,29
11_20,210
11_21,498
11_22,317
11_23,407
11_24,381
11_25,73
11_26,569
11_27,538
11_28,471
11_29,207
11_30,495
11_31,475
11_32,227
11_33,307
11_34,466
11_35,154
11_36,85
11_37,591
11_38,464
11_39,528
11_40,559
11_41,318
11_42,283
11_43,404
11_44,471
11_45,203
11_46,233
11_47,151
11_48,558
11_49,583
11_50,803
11_51,621
11_52,137
11_53,203
11_54,86
11_55,169
11_56,12
11_57,226
11_58,400
11_59,455
11_60,614
11_61,431
11_62,472
11_63,450
11_64,134
12_19,0
12_20,130
12_21,652
12_22,248
12_23,110
12_24,507
12_25,116
12_26,288
12_27,530
12_28,635
12_29,73
12_30,38
12_31,38
12_32,325
12_33,159
12_34,135
12_35,388
12_36,492
12_37,434
12_38,496
12_39,486
12_40,650
12_41,641
12_42,539
12_43,578
12_44,547
