grid_id,median,percentile_90,"Accommodation, eating and drinking",Attractions,Commercial services,Education and health,Manufacturing and production,Public infrastructure,Retail,Sport and entertainment,Transport,building_count,total_rent,below_14,above_65,IMD,node_count,connectivity,road_length,nearest_station_distance,neighbour_frequency_per_month,station_count
0_51,399.0,399.0,0,0,0,0,0,0,0,0,0,2,2.756537780020425,4.295945440900121,9.609793499798153,7.712966199398153,0,1.6812650644024218,353.2873127670962,3187.91859996456,0.17777777777777776,5
0_52,444.0,622.6,0,0,0,1,0,1,0,1,0,87,5.180922861676643,13.806764485674309,39.55158884853755,7.553945127945464,7,1.5714285714285714,1328.0923886718383,2841.2717223102754,0.19444444444444445,5
0_53,437.5,520.9,0,1,0,1,1,1,0,0,7,49,5.540563255762612,19.35458475357463,42.606956402000826,7.482996830202518,1,3.0,768.9839714620771,2546.139234213243,0.1888888888888889,5
100_10,391.0,575.0,0,2,1,2,0,4,0,2,2,27,170.72106212173318,162.76217803487,53.08406844955515,34.37633048678664,11,1.5454545454545454,734.3047188418562,1571.100569664463,5.922222222222222,4
100_11,294.0,526.8,0,1,3,0,0,1,0,1,7,294,78.99912443975622,268.14971438317144,95.12630907550424,37.460063065473825,20,1.8,2987.218971597596,1130.2021942997633,3.855555555555555,4
100_12,302.0,609.4,0,0,4,1,0,1,0,1,0,379,96.60664598876122,338.93201495311087,78.48898239855397,31.70105395042536,39,1.358974358974359,3132.1728891823514,765.7395118445959,3.3166666666666664,4
100_13,242.0,435.20000000000005,3,0,8,2,2,7,3,0,5,797,154.28502890452313,390.06941327040954,163.821577745154,20.564287882400656,73,1.5342465753424657,6076.937244038732,628.7742043054883,2.9222222222222225,4
100_14,236.0,349.2,1,0,4,5,0,4,4,1,4,857,155.3711354851545,338.1789483173619,284.2389149645649,15.186193438822322,95,1.4631578947368422,7210.593013355173,839.2597929127786,3.2166666666666672,4
100_15,272.0,430.0,3,1,11,4,0,4,0,1,4,665,153.74651378179675,295.106576779262,243.4941335322786,17.102167714248523,53,1.6415094339622642,5039.741203245474,1230.1857583308304,2.9722222222222223,4
100_16,333.5,473.09999999999997,6,0,21,7,2,7,8,1,8,917,163.77986167390105,404.3662849037981,274.332933063496,18.983018831804333,111,1.4234234234234233,6899.918849475846,1679.9872023322082,3.0,4
100_17,323.0,436.8,3,1,8,4,2,2,1,1,4,500,86.69003933138049,292.5240759866808,223.82506470794098,21.321584317451254,57,1.5614035087719298,4756.826813146669,2152.0587817250716,3.8055555555555554,4
100_18,360.0,585.3999999999999,0,0,1,0,0,1,0,0,1,461,103.50348646720134,182.50765534873116,271.3218897713415,23.924748578725783,48,1.2083333333333333,3457.3703778263384,2039.9571073922118,5.844444444444444,4
100_19,314.0,478.3000000000002,0,2,1,2,0,5,0,0,5,417,206.0490766183384,253.49779737211728,119.22297848915272,41.27233706305337,35,1.4285714285714286,3363.869551060843,1814.228486161542,8.483333333333333,4
100_20,334.0,523.6,0,3,0,3,0,7,0,0,9,373,442.65579117005706,503.8990477593267,115.23914713831884,65.18761232056083,44,1.6136363636363635,3942.6534512927537,1709.217657292365,10.25,4
100_21,350.0,554.8,0,0,3,0,0,3,1,0,11,448,273.9378644320955,406.15738783308706,93.48281055486095,55.60277871130158,45,1.6,4060.7272116336753,1746.8328483286546,8.194444444444445,4
100_22,329.0,616.0,0,0,1,1,0,0,0,0,1,56,151.5470789011268,121.97274996699169,71.67067218008722,39.168001255842164,4,2.0,1059.9640464494264,1918.703989676365,6.694444444444445,4
100_23,318.0,694.6,1,0,3,0,1,6,3,0,8,135,59.516691349117764,83.38146296194607,38.58341659637161,32.668470899268684,14,1.6428571428571428,2193.4170384726976,2193.4960679244446,2.688888888888889,4
100_24,308.0,642.0,0,0,2,0,2,11,0,0,1,18,87.47220470472116,58.635706077306544,23.479655197837978,26.943347357921358,8,1.25,1428.2689516453286,2537.996256892433,1.4277777777777778,4
100_25,366.0,385.2,1,0,5,0,2,5,1,0,3,237,45.58585624286065,61.25364431039165,43.54340786529305,14.634132852488642,24,1.4166666666666667,1866.4491435385216,2927.6996089079903,0.4055555555555555,4
100_6,434.0,702.8,0,0,4,1,3,1,1,2,1,11,3.0996583458251434,3.6149050850660718,2.4279985934488026,12.897183725527285,5,2.0,498.09987137023495,3497.4786632658675,0.6222222222222222,4
100_7,402.0,786.8000000000001,1,0,6,0,1,3,3,0,6,184,84.77004837296798,68.67899857343461,62.00859526360358,24.403138496952067,37,1.6486486486486487,4162.067322536953,3006.884932949713,3.2666666666666666,4
100_8,362.0,524.6000000000001,1,0,14,2,0,6,4,0,10,623,260.26754239638615,245.11548834421995,258.51424020555714,43.85437943673152,73,1.4246575342465753,5499.880157324939,2519.9914682395256,5.438888888888889,4
100_9,361.0,492.30000000000007,0,0,3,3,0,6,1,1,5,542,415.14607990278927,399.80552965202617,164.43545174763835,54.638872782726,45,1.3777777777777778,3910.9642771927333,2039.4501710019786,6.355555555555556,4
101_10,394.5,619.5,0,0,4,1,0,10,0,0,6,462,219.5435461642534,399.5114868216092,219.96900554691467,35.65556204956285,40,1.35,3562.515048985025,1446.498185273663,5.8,4
101_11,294.0,552.2,0,1,1,2,0,4,0,0,4,223,125.00029847973371,87.64631427737203,138.85652235349468,33.58261827297089,12,1.5,1653.0021233983343,949.3982304596949,3.5722222222222224,4
101_12,259.5,604.8000000000003,0,0,3,0,0,7,1,5,1,72,13.30249818664565,124.43466366953882,53.16475346879275,32.37285443737143,6,2.0,1211.0116946679632,458.6469230246727,2.8388888888888895,4
101_13,205.0,472.2000000000001,1,0,10,3,2,7,2,1,6,522,83.9542133788124,224.98531216348275,174.31710769197272,19.634383778026173,64,1.578125,5332.4692847527485,139.12943613772032,3.4111111111111105,4
101_14,227.0,412.0,6,0,18,6,0,8,4,1,8,808,130.6327986714778,334.46945709674867,248.13032055537778,15.804257885639124,91,1.3846153846153846,6253.440775584827,573.0244322888859,4.738888888888889,4
101_15,251.5,467.0,0,0,14,4,0,5,1,1,7,836,139.94435738499834,397.80441868463146,265.6967665342316,18.148126477706807,75,1.5866666666666667,6546.833200908209,1066.469408843967,4.138888888888888,4
101_16,247.0,549.0,2,0,9,3,0,6,5,2,3,751,161.74712274196156,361.15717897597284,224.0556134950753,18.50900569783326,73,1.63013698630137,6381.511403490391,1564.0834376720445,3.7333333333333334,4
101_17,354.0,489.00000000000006,0,1,2,1,0,3,0,1,3,214,96.01803813339173,115.42554521581852,131.29041510085506,23.164627244680254,29,1.6551724137931034,2392.7774472887954,2062.8516669891706,4.088888888888889,4
101_18,357.0,509.20000000000005,0,0,1,1,0,7,0,0,9,457,253.22155682437415,349.8179799350787,319.4696864122184,52.69630915179848,48,1.3958333333333333,3943.72475570767,2473.140715770132,5.683333333333333,4
101_19,349.0,488.0,1,1,10,3,1,5,5,0,5,504,307.774500181794,503.12893718596126,174.1758794703524,50.07404821178077,52,1.3461538461538463,4367.4292691169885,2290.5075856674216,7.777777777777777,4
101_20,375.0,509.69999999999993,1,0,7,8,5,9,1,4,7,300,380.92779404354934,433.00246645206494,143.14906935666608,52.79694443635611,33,1.393939393939394,2631.7717582379564,2208.262891958292,9.822222222222223,4
101_21,376.0,574.2000000000005,0,0,7,2,8,8,0,1,1,452,208.04928041422107,332.1072913757109,99.6262037128303,46.796667169066474,43,1.4883720930232558,4207.1777933735075,2237.504189940211,7.433333333333333,4
101_22,355.0,577.6,0,0,3,0,7,4,0,0,3,34,43.42765046281922,69.45774483489012,21.83316206267671,35.464,7,1.8571428571428572,1277.6342085045378,2374.115624816955,5.7222222222222205,4
101_23,382.0,735.9000000000001,0,0,1,0,0,6,0,0,4,41,42.61999216452557,38.74855438658633,43.630127310659084,35.18030632412458,13,1.3846153846153846,978.7719192214806,2601.2352834759104,1.8666666666666663,4
101_24,376.0,579.0,1,0,2,1,0,5,0,0,3,95,38.57858121072987,39.582461334586554,39.297521804172206,23.588025636132578,21,1.3333333333333333,2468.3544205660105,2897.6585375092077,0.688888888888889,4
101_25,537.0,784.7,0,0,0,0,2,7,0,0,1,9,6.503085146148463,5.607566086471888,4.653293954904848,10.222428684680692,0,1.6812650644024218,517.6409762652233,3244.4452530440394,0.21666666666666667,4
101_6,596.0,1197.8000000000002,1,0,2,0,3,5,1,0,5,13,20.81278121438769,8.645310911564616,6.5167331895147385,14.263615044307882,4,2.25,1105.4977453969873,3443.3061147681888,0.4388888888888889,4
101_7,455.0,637.2,3,0,5,0,1,4,14,0,3,41,89.13771421010794,27.2617649312373,50.87523779563235,20.219444204264654,11,1.8181818181818181,2555.431578858724,2943.6978445485875,3.116666666666667,4
101_8,394.0,602.2,0,1,8,1,2,8,5,0,7,343,252.05267609197367,183.75225215789078,97.28335230572078,45.313046296634205,19,1.6842105263157894,2182.2449436587517,2444.2497826531558,5.5166666666666675,4
101_9,380.0,583.6,1,1,9,8,0,11,8,2,11,535,335.8279563986072,339.6468206394302,224.15041895001914,51.31260841442158,44,1.3181818181818181,3954.452527035655,1945.08534517126,7.316666666666666,4
102_10,310.0,540.6,1,0,9,4,0,5,3,2,2,644,216.27342872763464,336.94821085852715,257.69330100700955,29.52755869173001,41,1.4634146341463414,3620.5998050627854,1488.7434298763505,4.316666666666667,4
102_11,283.5,458.0,0,0,5,0,0,4,0,1,6,575,98.9632965553503,180.12938779965847,342.79660941595,16.095904718465956,51,1.3137254901960784,4191.73123973618,1012.5991309496567,3.238888888888889,4
102_12,226.0,520.2,1,0,8,3,0,7,2,1,8,566,63.03115814158809,169.72126302885414,256.20375971746984,8.80731977892369,55,1.3818181818181818,4575.402396318933,578.2361109443096,2.5444444444444447,4
102_13,192.0,490.0,0,1,5,1,0,4,1,0,3,608,111.47808203740809,130.00356039389274,269.36301919848734,17.334684935029923,32,1.28125,2640.8804255735813,378.6251444370804,2.8611111111111107,4
102_14,219.0,418.5,0,0,1,3,0,2,0,0,5,276,271.4101541903142,282.7400775427552,188.87505665289098,46.258856864283175,16,1.4375,2211.729529628585,672.5749028918638,3.8166666666666664,4
102_15,258.0,458.59999999999997,1,1,10,4,0,8,3,1,6,570,148.48046269334807,289.7842920033405,178.42224548341267,26.881987124339023,68,1.411764705882353,4890.066576639902,1123.10150921455,4.416666666666666,4
102_16,293.5,474.9,0,2,7,2,1,3,1,1,4,549,134.82965440608822,260.86769408846317,152.6826268945228,20.737039501089868,59,1.5084745762711864,4462.279657348667,1603.2332955624393,6.194444444444445,4
102_17,367.5,611.8000000000001,1,1,5,2,0,0,1,0,1,381,123.34034471886676,117.89284214090763,149.1612195649665,18.367324046362704,43,1.3953488372093024,2857.92313088017,2092.691329365131,6.800000000000001,4
102_18,375.0,594.2,0,0,8,1,4,6,4,0,6,344,298.86960529243265,306.46111627056547,170.4371092073759,51.181172566796576,19,1.4736842105263157,2430.068706891164,2586.185801523162,7.222222222222223,4
102_19,375.0,537.2,0,2,1,1,0,1,0,0,0,326,312.01102483980605,197.2615351937211,130.72991310703148,44.75957085571301,17,1.5294117647058822,2107.290591443863,2775.1441404006387,6.905555555555555,4
102_20,426.0,588.8000000000001,4,0,18,3,0,8,8,0,4,627,193.78654671693147,238.37330906531466,221.19783991285183,24.63096251573457,66,1.606060606060606,5336.151305272891,2707.6604292266784,6.916666666666666,4
102_21,420.5,622.8000000000001,0,0,14,2,5,6,7,0,5,496,68.2684375900336,141.85132434252117,162.3849003947641,27.801508557457968,54,1.4814814814814814,4203.719686754581,2731.5609090774456,4.816666666666666,4
102_22,439.0,952.2,0,1,2,0,2,3,1,0,3,29,43.42765046281922,42.51304174151909,24.082475029104963,35.464,13,1.8461538461538463,1555.1058691495323,2844.543021295336,2.75,4
102_23,526.0,683.0,0,0,1,0,0,1,0,0,2,37,20.538082885728638,19.834641862011104,20.06894919286107,27.423934567795754,2,2.5,1245.725048975919,3036.6799304503593,0.7777777777777778,4
102_7,361.0,361.0,0,1,0,0,0,0,0,0,0,13,3.2019622351881716,1.5668386006769215,2.761884991023726,7.148,4,1.5,843.3440318093224,2964.6849748329078,1.7277777777777779,4
102_8,421.0,670.8000000000002,0,0,0,1,0,0,0,1,2,135,172.47876931907544,90.79772682220681,20.68324302221802,38.19611180471575,8,1.5,1367.3272345797586,2469.4851690180285,3.3055555555555554,4
102_9,383.0,621.8000000000002,3,0,11,0,0,8,4,0,10,713,278.6924037914854,342.77454672845073,135.62247778945624,50.54419330079985,45,1.4222222222222223,3945.4175617988235,1976.7035690765574,4.966666666666667,4
103_10,340.0,677.0,0,0,9,0,8,10,2,1,7,537,80.81795462707564,150.78892046912492,148.8107951795758,30.83400871087587,38,1.3157894736842106,3692.3147946704835,1685.3358715698187,2.816666666666667,4
103_11,295.0,557.0,0,0,4,0,0,5,1,1,6,697,111.50370154277113,250.32895025524562,268.0813332836243,19.777075892715267,61,1.2131147540983607,4135.4520428568785,1284.2729460671512,2.4388888888888887,4
103_12,303.0,594.2,5,0,14,7,1,6,2,0,5,454,90.39775364158335,150.48022804119003,258.9317514721702,14.248619961849595,50,1.42,3827.119131592403,978.9570981406692,2.1166666666666667,4
103_13,249.5,592.5999999999999,0,0,5,3,0,6,1,0,4,386,198.58762972931936,155.33119575777582,207.5839045718506,28.257778070371277,30,1.2666666666666666,2549.0716539987006,875.9891551840126,2.694444444444444,4
103_14,292.0,566.6000000000001,0,0,3,2,0,6,0,1,6,254,94.6553128703917,100.54061205146068,121.76413522676457,19.23199906629073,21,1.380952380952381,1892.2219464970403,1037.4762647887421,3.6833333333333336,4
103_15,311.0,587.0,0,0,3,1,0,3,1,0,9,376,79.81120747541063,135.75673037777517,131.51698347508164,15.49202850178905,30,1.3333333333333333,2775.0764531380814,1373.083027351223,5.994444444444444,4
103_16,338.0,692.0,0,1,13,1,37,4,2,2,3,215,136.38274186270945,135.0559826208875,105.04725153493266,20.740697537015194,28,1.5357142857142858,2768.692236757123,1787.2764195837196,8.338888888888889,4
103_17,363.5,648.0,2,1,6,3,1,8,6,0,9,257,105.18306089847616,131.74530870175698,118.04564334316731,19.38372897328603,44,1.5227272727272727,3591.596007653466,2236.8184995658453,7.811111111111112,4
103_18,342.0,477.20000000000005,0,0,8,2,0,5,2,2,5,436,191.31428536502608,225.23126915559595,194.02842727437863,20.86599706649947,30,1.4,2820.935671829723,2704.1370157593715,7.455555555555556,4
103_19,386.5,601.2,0,0,3,1,0,4,0,0,3,673,212.07612991123412,248.08222061573267,260.09985410869643,20.53666701719702,40,1.275,3559.2870641610157,3181.4080216155867,4.033333333333333,4
103_20,381.5,527.0,1,0,3,4,0,12,1,0,6,462,139.37969861881191,185.2164338307648,209.53162890875478,17.830743490063064,42,1.380952380952381,3757.071526643956,3207.245703091673,2.583333333333333,4
103_21,420.0,553.2,0,0,0,2,0,4,0,0,2,79,39.74209836232774,44.15082611617065,36.69978119828228,25.5208561212276,8,1.125,1263.288017563002,3227.448682783353,1.7499999999999998,4
103_22,482.0,617.3000000000001,0,1,1,0,0,2,0,1,3,22,27.184984737550494,28.726327813783303,16.510059154638096,29.758689282147596,9,1.7777777777777777,2138.6112339499455,3323.6162534203613,0.6722222222222223,4
103_23,525.0,615.6,0,0,0,0,0,3,0,0,0,0,1.656127604695036,6.850907346833228,4.84800441415567,20.791561307087747,0,1.6812650644024218,130.66876428769535,3489.4734559815756,0.20555555555555555,4
103_8,324.5,861.0,0,0,0,0,0,0,0,0,0,24,26.259279759088038,25.04840869563798,7.251531218819059,11.382817516538456,4,2.5,657.6838674028013,2592.750855751474,1.533333333333333,4
103_9,366.5,621.1999999999999,0,1,0,0,0,1,0,0,1,181,94.13734243093562,110.21624839728919,63.22905603252121,32.32602365550179,18,1.7222222222222223,1725.018811867383,2128.698428617826,2.766666666666667,4
104_10,350.0,573.8000000000001,0,0,30,1,33,8,9,0,2,59,59.65856318260041,33.66855842854007,27.050494756151426,27.105018829184182,15,1.8,1738.3496356442347,1991.069310697144,1.7444444444444442,4
104_11,309.0,547.4,3,0,20,2,14,12,14,0,12,97,48.69371622331187,62.117250904351835,49.65150734188549,19.42438771869408,25,1.68,2642.756898092855,1665.339905244572,1.7833333333333332,4
104_12,259.5,601.1,0,0,17,6,5,6,4,0,4,335,38.559586894318926,135.7342122987224,142.14114699766884,8.108499334404142,38,1.368421052631579,3202.960708211107,1443.0374215521924,1.3722222222222222,4
104_13,287.0,369.8,1,1,7,1,1,5,2,1,5,537,109.11826128474188,233.81244776419595,190.48196887732897,10.846972896997265,59,1.1864406779661016,4262.999500134321,1375.2661560585282,1.0555555555555554,4
104_14,286.5,643.1999999999999,0,0,1,2,0,4,0,0,3,89,33.24430928250942,50.057112231238364,89.20407188266532,14.47357297651752,16,1.4375,1975.4270277463122,1483.3600372128137,1.0944444444444443,4
104_15,312.0,456.0,0,0,3,1,0,4,2,0,2,326,60.38991987020258,103.97317436038989,96.91909176188415,14.090414806306132,17,1.2352941176470589,1478.7917457257136,1734.7498378728849,3.977777777777778,4
104_16,435.5,829.4,0,0,2,2,1,3,0,0,6,201,125.38052261918207,123.47428051310264,112.16936388627974,21.235600354195967,11,1.7272727272727273,2014.334384416341,2078.0656871234846,7.0777777777777775,4
104_17,402.5,816.3000000000002,2,1,5,11,1,8,5,1,15,301,87.12550702803708,154.38940179075848,185.21059164574194,20.597095116502192,45,1.4666666666666666,4101.895273052667,2475.3498742602023,7.033333333333334,4
104_18,401.0,596.6,2,0,9,1,0,11,3,0,16,589,235.23369762361372,267.7383945754637,288.2818282333628,20.257540887671443,41,1.3658536585365855,3754.0635872309476,2904.5407554379403,6.505555555555556,4
104_19,385.0,575.6000000000003,1,0,6,2,1,6,2,1,6,368,63.92982450074981,106.40852262448567,102.05790890457098,12.489945246012757,33,1.6666666666666667,3240.1063287830607,3353.409757247092,2.477777777777778,4
104_20,391.0,593.4,0,0,3,0,1,4,1,0,1,64,20.936827022375994,64.28534065575572,113.38399619395054,11.305786133382519,7,2.0,951.7069885257512,3706.942810457156,1.6722222222222223,4
104_22,480.0,701.6,0,0,0,0,1,3,0,0,1,9,0.7207339433849566,4.899658027117976,4.2062477466743555,20.463,1,2.0,182.03089593138313,3808.073660001865,0.2777777777777778,4
104_9,360.0,565.5,1,0,2,0,0,5,2,0,1,3,19.233679619332143,10.650299887151693,18.510396974059237,10.582294987031718,2,3.0,744.0311110187972,2378.0994512425254,1.1944444444444444,4
105_10,252.0,252.0,0,0,4,0,1,1,1,0,0,5,22.64800156058598,15.695215233443253,30.608183574717785,9.379860599370492,2,4.0,1159.7456733404547,2363.9706004940076,0.688888888888889,4
105_11,285.0,465.0,9,0,13,2,2,14,18,3,2,42,14.812933297961774,41.59838286027064,31.654427720950885,6.747032118233605,27,1.4444444444444444,3302.9264096195216,2096.9876012985865,0.7222222222222222,4
105_12,329.0,430.2,0,1,2,0,1,5,0,1,0,257,15.316704410418211,101.97862606899918,53.58120840483407,6.887280202193701,31,1.3870967741935485,3590.215799225901,1925.190120481611,0.6277777777777778,4
105_13,318.0,376.4,0,0,1,0,0,2,0,0,1,36,4.960808303068074,22.57803166627968,20.700888287937737,15.58168096480195,6,2.6666666666666665,1494.3282897274455,1874.9285319712856,0.3666666666666667,4
105_14,411.5,500.7,0,0,0,0,0,0,0,0,2,6,0.7301805080035029,0.32041214811756136,0.6112477269664643,20.460948405882245,1,3.0,310.9344127984602,1955.5963284890877,0.29444444444444445,4
105_16,383.5,713.8000000000001,0,0,0,0,0,0,0,0,2,0,35.422922467212416,22.381811999340908,11.97990954418075,20.529035055594214,0,1.6812650644024218,525.7785541248066,2437.695017839598,4.9222222222222225,4
105_17,410.0,725.0,0,0,1,0,1,4,0,1,2,110,51.140026623834196,35.85778047422816,19.499566259560666,20.558943251328035,12,1.5833333333333333,1619.3812394113347,2784.1258951419563,5.166666666666667,4
105_18,402.5,494.3,0,0,10,3,2,3,5,1,2,125,63.80885189326799,52.215787879390994,100.66317900501313,20.195384265058223,17,1.2941176470588236,2059.838717191831,3171.806583005969,3.9888888888888885,4
105_19,416.0,637.2,6,1,9,1,2,9,7,2,4,33,26.06108079436948,28.213934577758685,34.95921733030125,12.094081982701319,25,1.72,2375.4587261656807,3587.388604542307,1.1777777777777778,4
105_20,399.0,643.8000000000001,11,0,2,1,1,6,0,3,3,16,13.628786549324541,14.336330802569215,19.91158651887422,15.83566983175445,21,1.8095238095238095,4078.555770874563,4022.23283761644,0.5722222222222222,4
106_18,563.5,613.0,0,0,0,0,2,2,0,0,0,1,15.116995537286245,10.260416865607642,6.424070725595364,20.490394754484992,1,4.0,1065.7785726650998,3490.609832106705,1.1833333333333336,4
106_19,475.0,648.0,0,0,1,0,0,7,3,0,2,10,25.32253309922453,17.369124872956828,10.812220999540338,20.12256471395489,10,2.2,2540.115278209576,3872.1256436226345,0.5277777777777778,4
10_18,348.5,530.7,0,1,0,1,0,2,0,1,2,126,5.188918662072593,50.286744492629495,77.69678562830458,5.996053126547912,17,1.4705882352941178,1550.5148827769592,3036.899734927052,0.1388888888888889,5
10_19,331.5,620.8,0,0,0,1,0,2,1,0,2,122,8.239438994454506,40.61003482021771,96.27666359534436,4.714989759335772,18,1.4444444444444444,2349.3216750441725,2562.5690234606363,0.6333333333333333,6
10_20,301.0,543.8000000000001,1,0,4,0,0,11,2,2,4,346,20.240611157278114,88.54712807291979,210.01424659867797,5.011665418875159,32,1.71875,3808.649330395418,2100.1809445854897,0.9666666666666667,7
10_21,307.0,729.7000000000005,0,0,4,2,0,4,1,0,4,416,33.59788447448193,105.35841374741238,215.87112400640214,4.389608164234285,20,1.6,2972.4019314516677,1659.7469686672123,1.8555555555555558,7
10_22,275.0,502.0,0,1,5,2,1,7,0,0,8,492,86.05233173113895,170.11207399089903,239.1177488810838,11.329645520651392,36,1.2777777777777777,3751.4244747449643,1264.420816026057,2.522222222222222,7
10_23,303.0,483.5,3,0,12,2,18,11,7,1,8,472,188.2682570701313,233.0089805903183,174.7986068230987,26.354918716451007,37,1.3243243243243243,3501.4901293315797,970.9582895263833,3.7388888888888885,7
10_24,318.0,507.6,1,0,14,3,2,6,6,0,9,436,208.5996229231991,168.39064439567247,197.82428399521214,31.63403242542171,30,1.5666666666666667,3257.247086119838,886.9949267047698,3.9555555555555557,8
10_25,367.0,664.5000000000001,0,0,8,3,6,4,0,0,2,552,111.32846397573623,109.66105460330016,199.95577400915565,19.45674103413451,27,1.4814814814814814,3080.328891560848,1063.371995117419,3.1500000000000004,8
10_26,362.0,555.6,1,0,10,4,0,6,0,0,9,540,40.92554264345904,143.45349554684253,271.9370257175854,6.285994338625336,42,1.4761904761904763,3812.9822474741713,1405.2615414932552,1.9444444444444444,8
10_27,383.0,741.0,1,1,7,3,0,5,4,1,5,402,37.50172615576503,151.75644162773185,212.10899511297308,6.181489622081671,41,1.2439024390243902,2998.2406066485955,1821.7464148448323,2.716666666666667,8
10_28,285.0,678.2,2,0,32,1,19,2,12,1,3,341,108.80704682099103,140.60705200855128,84.92960793500136,23.833835057986082,26,1.4230769230769231,2651.3745617098693,1643.2190967731601,5.311111111111112,8
10_29,257.0,471.0,1,0,17,1,5,6,6,4,2,339,215.92526978733713,217.2909860951691,114.28974070836857,40.77221977896483,25,1.4,2403.044432631362,1193.8044228432059,7.477777777777779,9
10_30,255.5,625.3000000000002,1,1,8,2,2,8,0,2,8,443,240.43631797580926,222.37005174198268,124.12737091450735,42.127378051412684,27,1.4444444444444444,3047.8829096571403,806.3305773688605,8.377777777777776,9
10_31,228.0,594.0,5,0,19,2,2,7,10,2,6,675,185.18539549660397,294.7905653639808,217.2899280264418,39.746513940885,44,1.4772727272727273,4219.7964229116,612.5104080748342,7.833333333333334,9
10_32,249.0,611.6000000000001,1,2,9,0,3,3,0,2,8,345,181.9789048726226,186.52676774674623,98.83377604226746,46.95055728629377,11,2.0,2033.9434785036385,774.7057505917973,7.255555555555556,12
10_33,310.5,597.0,0,0,7,1,0,5,3,1,6,570,183.3442934879778,231.3028227450497,161.0253051829513,46.13217744266374,31,1.4193548387096775,3266.781125270843,1151.1598498905355,7.194444444444445,12
10_34,301.0,530.6000000000001,2,0,8,5,3,13,4,0,7,362,165.24328249496705,110.33749331780137,138.39850743163254,41.67568520455414,24,1.4583333333333333,2268.09235937675,1596.9248573430123,6.194444444444444,12
10_35,389.5,671.4,0,0,0,0,1,5,0,0,0,2,82.61545719553571,35.22486800540173,53.34451777036088,32.35817908940402,1,3.0,198.32278516328228,2067.6481809050592,4.466666666666667,12
10_36,375.5,574.6,2,0,1,0,2,7,0,1,3,176,23.14640691923149,45.0264752194194,61.732935700032115,9.240261315109446,37,1.3513513513513513,3277.1877339834623,2101.797326099736,3.0277777777777777,12
10_37,332.0,508.40000000000003,1,0,8,3,2,4,2,0,8,487,135.70991021511293,110.24247289273865,244.4114666292465,18.23006552300544,34,1.6470588235294117,3847.0310667109425,1839.4433940733268,3.5277777777777777,13
10_38,336.5,506.1,11,1,38,9,6,11,23,2,12,772,173.60077375860516,227.8594774365253,256.11112801039843,29.731032397413312,41,1.6585365853658536,4274.198558628956,1688.0616102500524,3.65,14
10_39,323.0,527.2,0,0,6,0,0,3,1,0,9,747,182.0516230854192,305.1728067884012,173.01129924183329,35.49515439473629,32,1.59375,4055.9446761558866,1677.9606670002727,3.5500000000000003,15
10_40,360.0,662.0000000000001,0,0,0,2,3,1,0,0,0,24,123.83863282855665,60.74846221608536,99.40261154736507,22.82802521920077,3,1.6666666666666667,369.8709743789892,1811.5054512752645,2.161111111111111,14
10_41,465.0,631.3000000000001,0,3,0,0,0,3,0,0,3,67,33.21105737951743,34.396814039122745,130.4309429806096,8.155855183808754,9,1.4444444444444444,1196.1373723856645,2060.959000077391,1.6833333333333336,14
