grid_id,Agricultural areas,Artificial surfaces,Forest and semi natural areas,Water bodies
0_51,100.0,0.0,0.0,0.0
0_52,68.92930647186965,31.07069352813036,0.0,0.0
0_53,56.54863295091518,43.45136704908482,0.0,0.0
100_10,94.93730991359868,5.0626900864013065,0.0,0.0
100_11,47.37104011096039,52.62895988903962,0.0,0.0
100_12,32.83093619327717,67.16906380672287,0.0,0.0
100_13,0.0,100.0,0.0,0.0
100_14,0.0,100.0,0.0,0.0
100_15,0.0,100.0,0.0,0.0
100_16,0.0,100.0,0.0,0.0
100_17,0.0,100.0,0.0,0.0
100_18,0.0,100.0,0.0,0.0
100_19,0.0,100.0,0.0,0.0
100_20,0.0,100.0,0.0,0.0
100_21,0.0,100.0,0.0,0.0
100_22,0.0,99.99999999999999,0.0,0.0
100_23,35.64764086979181,64.3523591302082,0.0,0.0
100_24,89.9580417681781,10.041958231821884,0.0,0.0
100_25,51.44898934080554,48.551010659194475,0.0,0.0
100_6,0.22476009064453709,99.77523990935546,0.0,0.0
100_7,0.0,99.99999999999997,0.0,0.0
100_8,0.0,100.0,0.0,0.0
100_9,13.734852967523894,86.2651470324761,0.0,0.0
101_10,27.00724662861677,72.99275337138323,0.0,0.0
101_11,60.104974478523374,39.895025521476626,0.0,0.0
101_12,76.54938310620108,23.450616893798923,0.0,0.0
101_13,17.70454344835076,82.29545655164924,0.0,0.0
101_14,0.0,100.0,0.0,0.0
101_15,0.0,100.0,0.0,0.0
101_16,0.0,100.0,0.0,0.0
101_17,0.0,99.99999999999999,0.0,0.0
101_18,0.0,100.0,0.0,0.0
101_19,0.0,100.0,0.0,0.0
101_20,0.0,100.0,0.0,0.0
101_21,0.0,100.0,0.0,0.0
101_22,19.951489691876315,80.0485103081237,0.0,0.0
101_23,92.4120516614934,7.587948338506632,0.0,0.0
101_24,99.99999999999999,0.0,0.0,0.0
101_25,100.0,0.0,0.0,0.0
101_6,83.728166069432,16.27183393056799,0.0,0.0
101_7,58.8796359770115,41.1203640229885,0.0,0.0
101_8,28.772359109525514,71.22764089047449,0.0,0.0
101_9,0.0,100.0,0.0,0.0
102_10,0.0,100.0,0.0,0.0
102_11,14.874240361777998,85.12575963822201,0.0,0.0
102_12,3.7847010628258753,96.21529893717413,0.0,0.0
102_13,50.55002518406294,49.449974815937054,0.0,0.0
102_14,31.4323723379659,68.5676276620341,0.0,0.0
102_15,6.954792834827284,93.04520716517271,0.0,0.0
102_16,0.0,100.0,0.0,0.0
102_17,0.0,100.0,0.0,0.0
102_18,0.0,100.0,0.0,0.0
102_19,0.0,100.0,0.0,0.0
