grid_id,Arable land,"Artificial, non-agricultural vegetated areas",Forests,Heterogeneous agricultural areas,"Industrial, commercial and transport units",Inland waters,"Mine, dump and construction sites",Pastures,Scrub and/or herbaceous vegetation associations,Urban fabric
0_51,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_52,68.92930647186965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.07069352813036
0_53,56.54863295091518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.45136704908482
100_10,66.17781677781515,0.0,0.0,0.0,0.0,0.0,0.0,28.759493135783526,0.0,5.0626900864013065
100_11,7.310592365641111,0.0,0.0,0.0,0.0,0.0,0.0,40.06044774531927,0.0,52.62895988903962
100_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.83093619327717,0.0,67.16906380672287
100_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
100_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
100_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
100_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
100_17,0.0,0.03327291088512197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96672708911488
100_18,0.0,40.91303156325058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.08696843674942
100_19,0.0,38.17317194898267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.82682805101732
100_20,0.0,43.21805336340184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.78194663659815
100_21,0.0,46.996453728561114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.00354627143889
100_22,0.0,91.87729718099608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.122702819003909
100_23,35.64764086979181,36.35471081404143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.997648316166767
100_24,89.9580417681781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.041958231821884
100_25,31.186670895378683,0.0,0.0,0.0,0.0,0.0,0.0,20.262318445426857,0.0,48.551010659194475
100_6,0.0,0.0,0.0,0.0,99.77523990935546,0.0,0.0,0.22476009064453709,0.0,0.0
100_7,0.0,0.0,0.0,0.0,55.178146911160816,0.0,0.0,0.0,0.0,44.821853088839156
100_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
100_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.734852967523894,0.0,86.2651470324761
101_10,27.00724662861677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.99275337138323
101_11,1.7120764118386798,0.0,0.0,0.0,0.0,0.0,0.0,58.392898066684694,0.0,39.895025521476626
101_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.54938310620108,0.0,23.450616893798923
101_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.70454344835076,0.0,82.29545655164924
101_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
101_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
101_16,0.0,8.997539768189474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.00246023181053
101_17,0.0,60.72629324270559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.2737067572944
101_18,0.0,10.986920556476393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.01307944352361
101_19,0.0,1.3014445356004656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.69855546439953
101_20,0.0,15.13733985242669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.86266014757331
101_21,0.0,2.5897045456181633,0.0,0.0,34.421821708202195,0.0,0.0,0.0,0.0,62.98847374617964
101_22,0.0,37.170518325976495,0.0,0.0,42.84232099874974,0.0,0.0,19.951489691876315,0.0,0.03567098339745627
101_23,55.984187186254545,7.587948338506632,0.0,0.0,0.0,0.0,0.0,36.42786447523884,0.0,0.0
101_24,94.84014368084162,0.0,0.0,0.0,0.0,0.0,0.0,5.159856319158371,0.0,0.0
101_25,68.99205939701358,0.0,0.0,0.0,0.0,0.0,0.0,31.007940602986427,0.0,0.0
101_6,0.0,0.0,0.0,0.0,16.27183393056799,0.0,0.0,83.728166069432,0.0,0.0
101_7,0.0,0.0,0.0,0.0,13.46762653662051,0.0,0.0,58.8796359770115,0.0,27.652737486367982
101_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.772359109525514,0.0,71.22764089047449
101_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
102_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
102_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.874240361777998,0.0,85.12575963822201
102_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7847010628258753,0.0,96.21529893717413
102_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.55002518406294,0.0,49.449974815937054
102_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.4323723379659,0.0,68.5676276620341
102_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.954792834827284,0.0,93.04520716517271
102_16,0.0,13.657693425042858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.34230657495714
102_17,0.0,50.37084866669817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.62915133330183
102_18,0.0,62.15992685969153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.840073140308476
102_19,0.0,60.16097515206739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.83902484793261
102_20,0.0,11.025190543025094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.97480945697491
102_21,13.603941628756418,0.0,0.0,0.0,11.386142171344694,0.0,0.0,0.0,0.0,75.00991619989888
102_22,0.3439923944290609,0.0,0.0,0.0,13.426642695758684,0.0,0.0,67.84943266994028,0.0,18.379932239871955
102_23,25.812207326637633,0.0,0.0,0.0,0.0,0.0,0.0,74.18779267336237,0.0,0.0
102_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
102_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.65825350096826,0.0,14.341746499031736
102_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.393836251719041,0.0,95.60616374828095
103_10,0.0,0.0,0.0,0.0,31.304846034482125,0.0,0.0,3.270724497291691,0.0,65.42442946822618
103_11,0.0,0.0,0.0,0.0,2.6790036629797953,0.0,0.0,0.0,0.0,97.3209963370202
103_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
103_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.345406407655844,0.0,61.654593592344156
103_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.81505425759146,0.0,40.18494574240854
103_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.227278947999004,0.0,74.772721052001
103_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
103_17,0.0,22.34090508495803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.65909491504198
103_18,0.0,17.768924837025228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.23107516297478
103_19,0.0,0.4115690117710919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.58843098822891
103_20,6.335820119788198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.6641798802118
103_21,64.27030771637595,0.0,0.0,0.0,0.0,0.0,0.0,23.270216055988065,0.0,12.459476227635989
103_22,13.207514943468995,0.0,0.0,0.0,0.0,0.0,0.0,86.79248505653099,0.0,0.0
103_23,77.97062384361655,0.0,0.0,0.0,0.0,0.0,0.0,22.029376156383453,0.0,0.0
103_8,0.0,0.0,3.3654546779758236,0.0,0.0,0.0,0.0,96.63454532202417,0.0,0.0
103_9,0.0,0.0,0.0,0.0,2.7060577475842575,0.0,0.0,85.54200659034166,0.0,11.751935662074088
104_10,0.0,0.0,4.20189560445755,0.0,95.79810439554247,0.0,0.0,0.0,0.0,0.0
104_11,0.0,0.0,0.0,0.0,80.6953888271012,0.0,0.0,0.0,0.0,19.3046111728988
