grid_id,Agriculture - mainly crops,Agriculture - mixed use,Business parks,Coniferous and undifferentiated woodland,Deciduous woodland,Farms,Glasshouses,High density residential with retail and commercial sites,Industrial areas,Inland Water,Large complex buildings various use (travel/recreation/ retail),Low density residential with amenities (suburbs and small villages / hamlets),Medium density residential with high streets and amenities,Mining and spoil areas,Open or heath and moor land,Orchards,Principle Transport,Recreational land,Retail parks,Urban centres - mainly commercial/retail with residential pockets,Wetlands
0_51,97.35999998194875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0800000000162981,0.0,1.5600000166913959,0.0,0.0,0.0,0.0,1.3435492222678838e-09,0.0,0.0,0.0,0.0
0_52,59.359999976782355,0.0,0.0,0.0,1.6000000026120107,0.0,0.0,0.0,0.0,0.0,0.0,29.520000019264526,3.9600000028996725,0.0,0.0,0.0,5.559999998438871,0.0,0.0,0.0,0.0
0_53,56.880000025262014,0.0,0.0,0.0,0.39999999929196206,0.11999999935331288,0.0,0.0,0.0,2.1199999999923165,0.0,40.47999997610401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100_10,15.440000051759535,0.0,0.0,0.0,37.56000001348462,0.0,0.0,0.0,0.0,0.0,0.0,5.1999999721327335,1.7893034886238652e-09,0.0,0.0,0.0,9.840000006649294,31.959999954190106,0.0,0.0,0.0
100_11,21.319999958351254,0.0,0.0,0.0,10.279999985635047,0.0,0.0,3.6799999985866014,0.0,0.39999999999720603,0.0,17.160000055714512,31.9200000078429,0.0,0.0,0.0,6.919999993878882,8.319999999994529,0.0,0.0,0.0
100_12,1.6799999961763388,0.0,0.0,0.0,2.8800000019668373,0.0,0.0,4.640000031548901,0.0,0.0,0.0,75.95999996199296,2.5200000131446867,0.0,0.0,0.0,0.0,12.31999999517249,0.0,0.0,0.0
100_13,1.4399999999874271,0.0,0.0,0.0,0.08000000036205164,0.0,0.0,47.599999964586225,0.0,0.0,0.0,8.83999997469515,35.6800000602752,0.0,0.0,0.0,6.360000000093715,0.0,0.0,0.0,0.0
100_14,0.0,0.0,0.0,0.0,6.0000000000669385,0.0,0.0,6.360000012443868,0.0,0.0,0.0,14.719999998703132,69.99999998847267,0.0,0.0,0.0,0.3200000002630986,2.6000000000345755,0.0,0.0,0.0
100_15,1.2400000000225846,0.0,0.0,0.0,0.0,0.0,0.0,1.3199999876369257,0.7199999988652999,0.0,0.0,40.00000005795364,38.75999996170448,0.0,0.0,0.0,7.359999995232328,10.599999998580081,0.0,0.0,0.0
100_16,2.5200000000646106,0.0,0.0,0.0,1.1200000000410946,0.0,0.0,1.7600000241985543,0.0,0.0,0.0,19.359999954701753,75.2400000209954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100_17,7.449416443488753e-10,0.0,0.0,0.0,0.0,0.0,0.0,3.879999974320061,0.0,0.0,24.519999988938217,50.5200000469404,21.079999989084897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100_18,23.720000047930984,0.0,0.0,0.0,4.000000008029165,1.7999999921454581,0.0,0.0,0.0,0.0,3.0400000249503645,39.11999992928956,27.88000000236323,0.0,0.0,0.0,0.0,0.4399999952901853,0.0,0.0,0.0
100_19,15.559999974170003,0.0,0.0,0.0,0.0,0.0,0.0,5.200000022727763,0.0,0.0,19.87999996676296,46.960000047828416,12.399999988512603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100_20,21.59999998301128,0.0,0.0,0.0,0.0,0.0,0.0,26.040000033308054,0.0,0.0,0.0,50.11999996049388,0.7200000235731714,0.0,0.0,0.0,0.0,1.5199999995855613,0.0,0.0,0.0
100_21,12.04000000839401,0.0,0.0,0.0,4.240000058269594,0.0,0.0,37.15999996985821,0.0,0.40000000412401276,0.0,20.36000000297965,25.79999996186164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100_22,38.12000003265846,0.0,0.0,0.0,32.119999989964185,0.0,0.0,0.0,0.0,12.840000000851346,0.0,4.519999967129785,12.400000009451293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100_23,31.599999985616424,0.0,0.0,0.0,28.360000010173536,0.0,0.0,0.0,0.0,0.5200000019297004,0.0,30.440000007853612,0.5599999866690486,0.0,0.0,0.0,8.520000007768743,0.0,0.0,0.0,0.0
100_24,52.2400000108896,0.0,0.0,0.0,24.91999996475945,0.0,0.0,0.0,1.040000000077067,2.640000002417248,0.0,8.160000028493814,0.0,0.0,10.64000000180246,0.0,0.35999999157537244,0.0,0.0,0.0,0.0
100_25,28.32000005487795,0.0,0.0,0.0,20.400000000065425,0.0,0.0,0.0,0.0,4.839999998603249,0.0,44.759999947009725,1.6799999994515673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100_6,4.400000011506529,0.0,2.75999998542876,0.0,7.320000004216097,0.0,0.0,0.0,22.7999999513337,0.0,0.0,3.080000002169981,0.0,0.0,0.0,0.0,59.640000045367636,0.0,0.0,0.0,0.0
100_7,28.75999997742346,0.0,0.0,0.0,2.7999999918310206,0.0,0.0,11.720000048005954,8.519999996291357,0.0,0.0,15.80000003188965,5.920000002327725,0.0,0.0,0.0,24.359999932907638,0.0,2.1200000188747654,0.0,0.0
100_8,0.5599999998048879,0.0,0.0,0.0,0.3600000012526289,0.0,0.0,23.48000000003504,0.0,0.0,0.0,36.67999998401036,37.64000003301806,0.0,0.0,0.0,0.0,0.5199999996504048,0.7599999822461978,0.0,0.0
100_9,0.0,0.0,0.0,0.0,0.8800000009565847,0.0,0.0,9.999999959179199,0.0,0.0,0.0,36.08000003426708,48.599999967303006,0.0,0.0,0.0,0.0,4.440000038293889,0.0,0.0,0.0
101_10,9.680000013198704,0.0,0.0,0.0,5.839999998572049,0.0,0.0,10.159999961936613,0.0,0.0,3.2800000271913596,26.480000004317144,35.639999994955026,0.0,0.0,0.0,8.879999999945984,0.039999999824445694,0.0,0.0,0.0
101_11,1.959999983834103,0.0,0.0,0.0,7.439999998756452,0.0,0.0,0.0,0.0,0.0,23.479999978184,1.3199999942209106,29.519999955740523,0.0,0.0,0.0,0.600000006118673,35.68000008314685,0.0,0.0,0.0
101_12,2.8000000143327055,0.0,0.0,0.0,10.439999999108723,0.0,0.0,0.0,0.0,0.0,0.0,14.520000013710465,1.840000003220979,0.0,0.0,0.0,7.0800000000190915,63.31999996961001,0.0,0.0,0.0
101_13,4.719999982513837,0.0,0.0,0.0,6.200000000200816,0.0,0.0,0.0,0.0,0.0,0.0,30.72000002482149,40.16000004292256,0.0,0.0,0.0,10.159999992812285,8.039999956749147,0.0,0.0,0.0
101_14,0.44000000002002343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.11999998951284,63.600000001638655,0.0,0.0,0.0,0.0,0.8400000088282394,0.0,0.0,0.0
101_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.319999970253207,71.72000003029684,0.0,0.0,0.0,3.7200000082495386,1.2399999912003987,0.0,0.0,0.0
101_16,8.680000040343032,0.0,0.0,0.0,1.2000000000204891,0.0,0.0,0.0,0.0,0.0,0.0,6.20000001657824,80.55999994898471,0.0,0.0,0.0,3.3599999940735286,0.0,0.0,0.0,0.0
101_17,13.919999995701598,0.0,0.0,0.0,8.76000003388,0.0,0.0,0.4400000164869707,0.0,0.0,0.0,9.31999999684654,23.279999936904407,0.0,0.0,0.0,0.0,44.28000002018479,0.0,0.0,0.0
101_18,5.199999960709246,0.0,0.0,0.0,2.9199999623310284,0.0,0.0,10.439999987627031,0.0,0.0,0.0,50.08000005777285,30.640000037642196,0.0,0.0,0.0,0.0,0.719999993930105,0.0,0.0,0.0
101_19,3.0400000004566974,0.0,0.0,0.0,0.0,0.0,0.0,10.360000001716312,0.0,0.0,0.0,28.879999946273514,52.039999960557786,0.0,0.0,0.0,0.0,5.680000090964721,0.0,0.0,0.0
101_20,0.7600000017011771,0.0,0.0,0.0,2.59999999943655,0.0,0.0,29.520000056695427,7.479999998365529,0.0,22.87999999507307,3.079999976459425,11.760000093007111,0.0,0.0,0.0,0.0,21.919999879221432,0.0,0.0,0.0
101_21,0.32000001667288597,0.0,0.0,0.0,2.8400000263706318,0.0,0.0,38.23999997003772,31.7600000764234,0.0,0.0,0.5200000048563815,25.95999990782002,0.0,0.0,0.0,0.0,0.3599999978514388,0.0,0.0,0.0
101_22,15.120000021325772,0.040000000044703485,0.0,0.0,44.08000002875458,0.0,0.0,0.0,28.679999940875216,0.9600000000947622,0.0,6.639999996485654,0.0,0.0,0.0,0.0,4.480000012397067,0.0,0.0,0.0,0.0
101_23,61.6399999622847,0.0,0.0,0.0,13.5199999466304,0.0,0.0,0.0,0.0,2.9599999974076634,0.0,17.60000010576395,0.0,0.0,0.0,0.0,4.279999987908057,0.0,0.0,0.0,0.0
101_24,14.519999999047023,0.6800000001909211,0.0,0.0,27.760000037889345,0.0,0.0,0.0,7.519999999809778,4.0968611966438193e-19,0.0,40.71999989980471,0.0,0.0,8.800000063242972,0.0,0.0,0.0,0.0,0.0,0.0
101_25,40.16000008518645,0.0,0.0,0.0,26.9599999852028,1.120000000261818,0.0,0.0,0.0,4.120000000996748,0.0,5.159999985043425,0.0,0.48000000011164223,21.999999943186648,0.0,0.0,0.0,0.0,0.0,0.0
101_6,54.35999998978986,0.0,0.0,0.0,22.119999977834755,0.0,0.0,0.0,9.080000008504527,0.7599999998778804,0.0,1.4000000058754813,0.0,0.0,0.23999999946996103,0.0,7.360000007033348,4.1200000002270105,0.5600000113946153,0.0,0.0
101_7,28.71999994439818,0.0,0.0,0.0,24.40000002072507,3.800000000312459,0.0,1.0800000016749836,1.3999999894836217,0.04000000034132972,0.0,13.439999997671112,0.0,0.0,0.0,1.2800000131913694,16.320000000076835,0.0,9.520000032123761,0.0,0.0
101_8,2.64000000035041,0.0,0.0,0.0,22.079999987702237,0.0,0.0,1.7599999945538585,12.080000000396161,0.0,0.0,14.280000003141119,37.720000073488805,0.0,0.0,1.7199999890926994,2.3199999917309033,0.0,5.399999959501554,0.0,0.0
101_9,0.0,0.0,0.0,0.0,0.31999999905389265,0.0,0.0,6.080000038678874,0.0,0.0,0.0,14.959999983362852,76.1599999787776,0.0,0.0,0.0,0.0,0.0,2.480000000140746,0.0,0.0
102_10,0.0,0.0,0.0,0.0,2.1599999997590205,0.0,0.0,0.1200000000570435,0.0,0.0,0.5600000077768927,5.119999996971223,88.80000001041172,0.0,0.0,0.0,3.23999998504261,0.0,0.0,0.0,0.0
102_11,0.0,0.0,0.0,0.0,0.2799999998224666,0.0,0.0,0.0,0.0,0.0,10.039999986457639,44.92000000352564,35.99999999922875,0.0,0.0,0.0,0.0,8.760000010962832,0.0,0.0,0.0
102_12,8.600569258512825e-18,0.0,0.0,0.0,2.3199999988497,0.0,0.0,0.0,0.0,0.0,0.0,44.280000047417815,41.43999996505119,0.0,0.0,0.0,4.720000009190757,7.23999997948436,0.0,0.0,0.0
