grid_id,node_count
0_51,0
0_52,7
0_53,1
100_10,11
100_11,20
100_12,39
100_13,73
100_14,95
100_15,53
100_16,111
100_17,57
100_18,48
100_19,35
100_20,44
100_21,45
100_22,4
100_23,14
100_24,8
100_25,24
100_6,5
100_7,37
100_8,73
100_9,45
101_10,40
101_11,12
101_12,6
101_13,64
101_14,91
101_15,75
101_16,73
101_17,29
101_18,48
101_19,52
101_20,33
101_21,43
101_22,7
101_23,13
101_24,21
101_25,0
101_6,4
101_7,11
101_8,19
101_9,44
102_10,41
102_11,51
102_12,55
102_13,32
102_14,16
102_15,68
102_16,59
102_17,43
102_18,19
102_19,17
102_20,66
102_21,54
102_22,13
102_23,2
102_7,4
102_8,8
102_9,45
103_10,38
103_11,61
103_12,50
103_13,30
103_14,21
103_15,30
103_16,28
103_17,44
103_18,30
103_19,40
103_20,42
103_21,8
103_22,9
103_23,0
103_8,4
103_9,18
104_10,15
104_11,25
104_12,38
104_13,59
104_14,16
104_15,17
104_16,11
104_17,45
104_18,41
104_19,33
104_20,7
104_22,1
104_9,2
105_10,2
105_11,27
105_12,31
105_13,6
105_14,1
105_16,0
105_17,12
105_18,17
105_19,25
105_20,21
106_18,1
106_19,10
10_18,17
10_19,18
10_20,32
10_21,20
10_22,36
10_23,37
10_24,30
10_25,27
10_26,42
10_27,41
10_28,26
10_29,25
10_30,27
10_31,44
10_32,11
10_33,31
10_34,24
10_35,1
10_36,37
10_37,34
10_38,41
10_39,32
10_40,3
10_41,9
10_42,28
10_43,36
10_44,13
10_45,32
10_46,7
10_47,1
10_48,11
10_49,32
10_50,27
10_51,33
10_52,58
10_53,40
10_54,27
10_55,34
10_56,24
10_57,32
10_58,31
10_59,33
10_60,29
10_61,22
10_62,21
10_63,4
10_64,9
11_19,0
11_20,14
11_21,15
11_22,38
11_23,30
11_24,34
11_25,9
11_26,37
11_27,34
11_28,42
11_29,38
11_30,34
11_31,31
11_32,20
11_33,10
11_34,41
11_35,7
11_36,7
11_37,35
11_38,32
11_39,35
11_40,33
11_41,19
11_42,26
11_43,37
11_44,28
11_45,26
11_46,17
11_47,13
11_48,29
11_49,33
11_50,35
11_51,51
11_52,44
11_53,47
11_54,34
11_55,16
11_56,2
11_57,21
11_58,29
11_59,23
11_60,20
11_61,14
11_62,29
11_63,28
11_64,31
11_65,9
12_19,0
12_20,0
12_21,29
12_22,12
12_23,13
12_24,43
12_25,29
12_26,14
12_27,30
12_28,28
12_29,21
12_30,24
12_31,23
12_32,37
12_33,6
12_34,26
12_35,27
12_36,15
12_37,40
12_38,48
12_39,28
12_40,45
12_41,41
12_42,38
12_43,23
12_44,29
12_45,19
12_46,15
12_47,20
12_48,29
12_49,33
12_50,34
12_51,31
12_52,33
12_53,25
12_54,29
12_55,41
12_56,19
12_57,35
12_58,37
12_59,23
12_60,24
12_61,22
12_62,28
12_63,43
12_64,10
12_65,3
13_20,0
13_21,10
13_22,24
13_23,34
13_24,47
13_25,11
13_26,26
13_27,31
13_28,44
13_29,28
13_30,28
13_31,19
13_32,18
13_33,22
13_34,43
13_35,19
13_36,21
13_37,30
13_38,23
13_39,25
13_40,29
13_41,20
13_42,16
13_43,5
13_44,44
13_45,41
13_46,23
13_47,29
13_48,24
13_49,39
13_50,11
13_51,29
13_52,18
13_53,19
13_54,31
13_55,11
13_56,29
13_57,31
13_58,24
13_59,26
13_60,9
13_61,8
13_62,17
13_63,25
13_64,4
14_21,1
14_22,4
14_23,9
14_24,16
14_25,11
14_26,22
14_27,38
14_28,40
14_29,23
14_30,7
14_31,15
14_32,14
14_33,15
14_34,32
14_35,37
14_36,12
14_37,46
14_38,31
14_39,26
14_40,40
14_41,35
14_42,20
14_43,35
14_44,39
14_45,26
14_46,38
14_47,17
14_48,9
14_49,41
14_50,50
14_51,8
14_52,27
14_53,25
14_54,13
14_55,28
14_56,29
14_57,32
14_58,13
14_59,27
14_60,22
14_61,11
14_62,4
14_63,0
14_64,3
15_19,4
15_21,4
15_22,3
15_23,8
15_24,17
15_25,19
15_26,38
15_27,29
15_28,19
15_29,32
15_30,10
15_31,11
15_32,7
15_33,9
15_34,32
15_35,44
15_36,45
15_37,31
15_38,19
15_39,5
15_40,11
15_41,34
15_42,35
15_43,36
15_44,34
15_45,17
15_46,32
15_47,11
15_48,30
15_49,48
15_50,28
15_51,25
15_52,50
15_53,30
15_54,10
15_55,39
15_56,28
15_57,23
15_58,18
15_59,32
15_60,21
15_61,11
15_62,1
16_19,8
16_20,21
16_21,2
16_22,2
16_23,22
16_24,34
16_25,39
16_26,43
16_27,26
16_28,35
16_29,32
16_30,24
16_31,37
16_32,41
16_33,17
16_34,11
16_35,33
16_36,41
16_37,21
16_38,14
16_39,35
16_40,15
16_41,24
16_42,18
16_43,47
16_44,17
16_45,24
16_46,22
16_47,23
16_48,38
16_49,34
16_50,32
16_51,37
16_52,44
16_53,13
16_54,16
16_55,20
16_56,31
16_57,17
16_58,29
16_59,27
16_60,4
16_61,3
17_19,4
17_20,44
17_21,33
17_22,10
17_23,12
17_24,45
17_25,37
17_26,19
17_27,26
17_28,39
17_29,22
17_30,34
17_31,30
17_32,27
17_33,31
17_34,24
17_35,36
17_36,42
17_37,10
17_38,5
17_39,20
17_40,40
17_41,17
17_42,8
17_43,36
17_44,31
17_45,55
17_46,28
17_47,34
17_48,44
17_49,34
17_50,57
17_51,23
17_52,46
17_53,10
17_54,8
17_55,20
17_56,34
17_57,39
17_58,43
17_59,7
17_60,0
18_19,1
18_20,16
18_21,35
18_22,13
18_23,20
18_24,35
18_25,20
18_26,25
18_27,24
18_28,34
18_29,49
18_30,23
18_31,31
18_32,9
18_33,20
18_34,40
18_35,67
18_36,30
18_37,42
18_38,21
18_39,23
18_40,55
18_41,20
18_42,36
18_43,21
18_44,35
18_45,33
18_46,46
18_47,23
18_48,40
18_49,29
18_50,34
18_51,33
18_52,45
18_53,26
18_54,11
18_55,18
18_56,48
18_57,35
18_58,30
18_59,14
18_60,1
19_20,4
19_21,42
19_22,33
19_23,31
19_24,21
19_25,12
19_26,18
19_27,31
19_28,50
19_29,36
19_30,5
19_31,30
19_32,34
19_33,21
19_34,15
19_35,29
19_36,39
19_37,33
19_38,12
19_39,18
19_40,34
19_41,22
19_42,32
19_43,49
19_44,17
19_45,23
19_46,32
19_47,22
19_48,23
19_49,31
19_50,30
19_51,40
19_52,36
19_53,12
19_54,7
19_55,13
19_56,46
19_57,18
19_58,29
19_59,41
19_60,33
19_61,4
1_51,8
1_52,10
1_53,32
1_54,42
1_57,9
1_58,2
20_20,1
20_21,22
20_22,49
20_23,41
20_24,23
20_25,15
20_26,28
20_27,24
20_28,22
20_29,13
20_30,23
20_31,25
20_32,21
20_33,6
20_34,16
20_35,32
20_36,26
20_37,50
20_38,39
20_39,35
20_40,43
20_41,40
20_42,29
20_43,61
20_44,26
20_45,40
20_46,38
20_47,33
20_48,14
20_49,20
20_50,20
20_51,28
20_52,31
20_53,34
20_54,44
20_55,6
20_56,25
20_57,33
20_58,42
20_59,37
20_60,42
20_61,10
21_20,4
21_21,17
21_22,52
21_23,43
21_24,21
21_25,28
21_26,32
21_27,27
21_28,24
21_29,40
21_30,22
21_31,17
21_32,5
21_33,4
21_34,19
21_35,24
21_36,23
21_37,29
21_38,30
21_39,34
21_40,55
21_41,23
21_42,19
21_43,30
21_44,33
21_45,25
21_46,29
21_47,45
21_48,15
21_49,11
21_50,17
21_51,24
21_52,33
21_53,35
21_54,40
21_55,23
21_56,39
21_57,37
21_58,28
21_59,32
21_60,43
21_61,24
22_20,2
22_21,14
22_22,34
22_23,38
22_24,19
22_25,5
22_26,5
22_27,35
22_28,69
22_29,33
22_30,37
22_31,32
22_32,26
22_33,20
22_34,32
22_35,27
22_36,11
22_37,39
22_38,6
22_39,10
22_40,39
22_41,48
22_42,43
22_43,43
22_44,41
22_45,18
22_46,4
22_47,23
22_48,38
22_49,42
22_50,36
22_51,27
22_52,15
22_53,48
22_54,23
22_55,38
22_56,24
22_57,38
22_58,50
22_59,32
22_60,43
22_61,2
23_11,5
23_12,25
23_13,3
23_20,0
23_21,1
23_22,28
23_23,12
23_24,13
23_25,6
23_26,15
23_27,34
23_28,34
23_29,29
23_30,46
23_31,40
23_32,37
23_33,29
23_34,7
23_35,39
23_36,13
23_37,48
23_38,2
23_39,6
23_40,40
23_41,41
23_42,19
23_43,21
23_44,33
23_45,11
23_46,24
23_47,21
23_48,31
23_49,48
23_50,56
23_51,39
23_52,13
23_53,42
23_54,38
23_55,48
23_56,42
23_57,33
23_58,28
23_59,30
23_60,16
23_61,1
23_62,0
